autor bonnie jeromediemilia,"aut=jeromediemilia, bonnie%"
autor louise  martell,"aut=martell, louise%"
autor vivian  gedalyduff,"aut=gedalyduff , vivian%"
autor marsha l.  heims,"aut=heims, marsha l.%"
autor nancy trygar  artinian,"aut=artinian, nancy trygar%"
autor helene j.   moriarty,"aut=moriarty, helene j. %"
autor margaret p.  shepard,"aut=shepard, margaret p.%"
autor beverly s.  richards,"aut=richards , beverly s.%"
autor mary luanne  lilly,"aut=lilly, mary luanne%"
autor debra gay  anderson,"aut=anderson, debra gay%"
autor cecelia    cpuzzi,"aut=cpuzzi, cecelia  %"
autor diane hutton,"aut=hutton, diane%"
autor kristine  gebbie,"aut=gebbie, kristine%"
autor eileen  gebbie,"aut=gebbie, eileen%"
autor shirley may harmon  hason,"aut=hason, shirley may harmon%"
autor conferencia episcopal portuguesa,"aut=conferencia episcopal portuguesa%"
autor alice gentil  martins,"aut=martins, alice gentil%"
autor agostinho  moleiro,"aut=moleiro, agostinho%"
autor marisa accioly  domingues,"aut=domingues, marisa accioly%"
autor naira dutra  lemos,"aut=lemos, naira dutra%"
autor raphael mendes ritti  dias,"aut=dias, raphael mendes ritti%"
autor emanuel pericles  salvador,"aut=salvador , emanuel pericles%"
autor gabriel grizzo  cucato,"aut=cucato, gabriel grizzo%"
autor vanessa vieira  pereira,"aut=pereira , vanessa vieira%"
autor andrea c.  folhe,"aut=folhe, andrea c.%"
autor luciane teixeira  santos,"aut=santos, luciane teixeira%"
autor roberto dischinger  miranda,"aut=miranda, roberto dischinger%"
autor carlos andre   uehara,"aut=uehara , carlos andre %"
autor maira giannini rodrigues,"aut=, maira giannini rodrigues%"
autor myrian  najas,"aut=najas, myrian%"
autor clarice cavalero  nebuloni,"aut=nebuloni , clarice cavalero%"
autor ana paula  maeda,"aut=maeda, ana paula%"
autor maria luiza moreira arantes  frigerio,"aut=frigerio, maria luiza moreira arantes%"
autor zally pinto vasconcelos de  queiroz,"aut=queiroz, zally pinto vasconcelos de%"
autor silvia affini borsoi  tamai,"aut=tamai, silvia affini borsoi%"
autor camila  covas,"aut=covas , camila%"
autor elisabete castelo branco  teixeira,"aut=teixeira, elisabete castelo branco%"
autor ricardo linares  pereira,"aut=pereira, ricardo linares%"
autor fabio cattapan   giordan,"aut=giordan, fabio cattapan %"
autor jose dionizio lisboa barbante  junior,"aut=junior, jose dionizio lisboa barbante%"
autor maristela ferreira catao   carvalho,"aut=carvalho , maristela ferreira catao %"
autor graziela  luppi,"aut=luppi, graziela%"
autor albino  romoska,"aut=romoska , albino%"
autor danielle penha  soares,"aut=soares, danielle penha%"
autor carla campos  cieri,"aut=cieri, carla campos%"
autor matheus papaleo   netto,"aut=netto, matheus papaleo%"
autor renata freitas nogueira  salles,"aut=salles, renata freitas nogueira%"
autor fabio takashi  kitadai,"aut=kitadai, fabio takashi%"
autor frances aparecida illes  pereira,"aut=pereira, frances aparecida illes%"
autor doralice severo da cruz  teixeira,"aut=teixeira, doralice severo da cruz%"
autor paulo capel narvai,"aut=narvai , paulo capel%"
autor ruth galeheter da costa  lopes,"aut=lopes, ruth galeheter da costa%"
autor valda bernardes de sousa  bruno,"aut=bruno , valda bernardes de sousa%"
autor maila beatriz  goeller,"aut=goeller, maila beatriz%"
autor sonia lima  medeiros,"aut=medeiros, sonia lima%"
autor sofia cristina lost   pavarini,"aut=pavarini, sofia cristina lost %"
autor maria jose  delboux,"aut=delboux , maria jose%"
autor yeda aparecida de oliveira  duarte,"aut=duarte, yeda aparecida de oliveira%"
autor tatiana viera do  couto,"aut=couto, tatiana viera do%"
autor raquel queiroz de  araujo,"aut=araujo, raquel queiroz de%"
autor helena   izzo,"aut=izzo, helena %"
autor celisa tiemi nakagawa   sera,"aut=sera , celisa tiemi nakagawa %"
autor tiago alexandre da  silva,"aut=silva, tiago alexandre da%"
autor tereza loffredo  bilton,"aut=bilton, tereza loffredo%"
autor juliana paula  venites,"aut=venites, juliana paula%"
autor luciane teixeira  soares,"aut=soares, luciane teixeira%"
autor jose antonio esper  curiati,"aut=curiati, jose antonio esper%"
autor claudia  szlejf,"aut=szlejf , claudia%"
autor thiago junqueira avelino da  silva,"aut=silva, thiago junqueira avelino da%"
autor elci almeida  fernandes,"aut=fernandes, elci almeida%"
autor fernando luiz brunetti   montenegro,"aut=montenegro, fernando luiz brunetti %"
autor leonardo  marchini,"aut=marchini, leonardo%"
autor carlos eduardo  manetta,"aut=manetta, carlos eduardo%"
autor claudia  drucker,"aut=drucker, claudia%"
autor marisa accioly   domingues,"aut=domingues , marisa accioly %"
autor eliane pereira da  silva,"aut=silva, eliane pereira da%"
autor mariela   besse,"aut=besse, mariela %"
autor ligia p.  weber,"aut=weber, ligia p.%"
autor roberta abduch  rolim,"aut=rolim, roberta abduch%"
autor marcia maria porto rossetto  mazza,"aut=mazza, marcia maria porto rossetto%"
autor fernando  lefevre,"aut=lefevre, fernando%"
autor ana cristina dandretta  tanaka,"aut=tanaka, ana cristina dandretta%"
autor caroline r. borja  oliveira,"aut=oliveira, caroline r. borja%"
autor caroline de andrade baeta nogueira  silva,"aut=silva, caroline de andrade baeta nogueira%"
autor rogerio ulmer  rosenstock,"aut=rosenstock, rogerio ulmer%"
autor andrea dias fleury  curado,"aut=curado, andrea dias fleury%"
autor maria de lourdes do  nascimento,"aut=nascimento , maria de lourdes do%"
autor fernanda cristina alves de  lima,"aut=lima , fernanda cristina alves de%"
autor eliane dos santos  nascimento,"aut=nascimento, eliane dos santos%"
autor jose antonio claret alves da  luz,"aut=luz, jose antonio claret alves da%"
autor vladimir pires  junior,"aut=junior, vladimir pires%"
autor naira dutra  lemos,"aut=lemos , naira dutra%"
autor monica andrade  tobias,"aut=tobias, monica andrade%"
autor maria helena morgoni de  almeida,"aut=almeida , maria helena morgoni de%"
autor silmara nicolau pedro da    silva,"aut=silva, silmara nicolau pedro da  %"
autor ana paula pelegrini  ratier,"aut=ratier, ana paula pelegrini%"
autor aparecida yoshie  yoshitome,"aut=yoshitome, aparecida yoshie%"
autor graziela  luppi,"aut=luppi  , graziela%"
autor maristela ferreira catao  carvalho,"aut=carvalho, maristela ferreira catao%"
autor claudia flo,"aut=flo, claudia%"
autor alessandra rischiteli braganca   silva,"aut=silva, alessandra rischiteli braganca %"
autor cintia missue kitano   yamamoto,"aut=yamamoto, cintia missue kitano %"
autor raquel gama  fernandes,"aut=fernandes, raquel gama%"
autor jose carlos  vilela,"aut=vilela, jose carlos%"
autor denise  tiberio,"aut=tiberio, denise%"
autor roberta viera   farac,"aut=farac, roberta viera %"
autor maria teresa botti rodrigues dos  santos,"aut=santos, maria teresa botti rodrigues dos%"
autor cleofa tonilo  zenatti,"aut=zenatti, cleofa tonilo%"
autor marilia anselmo viana da silva  berzins,"aut=berzins, marilia anselmo viana da silva%"
autor nadir aparecida menezes estevam da  silva,"aut=silva, nadir aparecida menezes estevam da%"
autor maria auxiliadora cursino  ferrari,"aut=ferrari  , maria auxiliadora cursino%"
autor simone maria pureza lima  fonseca,"aut=fonseca, simone maria pureza lima%"
autor larry d.  purnell,"aut=purnell, larry d.%"
autor betty j. paulanka,"aut=paulanka, betty j.%"
autor larry d.  purnell,"aut=purnell , larry d.%"
autor josepha  campinhabacote,"aut=campinhabacote, josepha%"
autor anna frances z.  wenger,"aut=wenger, anna frances z.%"
autor marion r.  wenger,"aut=wenger, marion r.%"
autor kathleen w.  huttlinger,"aut=huttlinger, kathleen w.%"
autor larry d. purnell,"aut=purnell, larry d.%"
autor anahid dervartanian  kulwicki,"aut=kulwicki, anahid dervartanian%"
autor yan wang,"aut=wang, yan%"
autor tina a. ellis,"aut=ellis, tina a.%"
autor mahmoud hanafi meleis,"aut=meleis, mahmoud hanafi%"
autor dula f.  pacquiano,"aut=pacquiano, dula f.%"
autor ginette coutuwakulczyk,"aut=coutuwakulczyk, ginette%"
autor denise moreau,"aut=moreau, denise%"
autor diane alain,"aut=alain, diane%"
autor jessica a.  steckler,"aut=steckler, jessica a.%"
autor jessie m. collin,"aut=collin, jessie m.%"
autor ghislaine paperwalla,"aut=paperwalla, ghislaine%"
autor homeyra hafizi,"aut=hafizi, homeyra%"
autor maryam sayyedi,"aut=sayyedi, maryam%"
autor juliene g. lipson,"aut=lipson, juliene g.%"
autor susan turale,"aut=turale, susan%"
autor misae ito,"aut=ito, misae%"
autor janice selekman,"aut=selekman, janice%"
autor eunok  im,"aut=im, eunok%"
autor rick zoucha,"aut=zoucha, rick%"
autor cecilia a. zamarripa,"aut=zamarripa, cecilia a.%"
autor linda s.  smith,"aut=smith, linda s.%"
autor henry m. plawecki,"aut=plawecki, henry m.%"
autor lawrence h. plawecki,"aut=plawecki, lawrence h.%"
autor judith a. plawecki,"aut=plawecki, judith a.%"
autor martin h. plawecki,"aut=plawecki, martin h.%"
autor ratchneewan  ross,"aut=ross, ratchneewan%"
autor jeffrey  ross,"aut=ross, jeffrey%"
autor moya j.  morison,"aut=morison, moya j.%"
autor chistine j.  moffatt,"aut=moffatt , chistine j.%"
autor peter j.  franks,"aut=franks, peter j.%"
autor theo d.  kwansa,"aut=kwansa , theo d.%"
autor jonathan  kantor,"aut=kantor , jonathan%"
autor david j.  margolis,"aut=margolis, david j.%"
autor peter j.  franks,"aut=franks , peter j.%"
autor nick  bosanquet,"aut=bosanquet, nick%"
autor christine j. moffatt,"aut=moffatt, christine j.%"
autor magnus s.  agren,"aut=agren, magnus s.%"
autor finn  gottrup,"aut=gottrup, finn%"
autor olle p.  nelzen,"aut=nelzen, olle p.%"
autor christine j.  moffatt,"aut=moffatt, christine j.%"
autor hugo  partsch,"aut=partsch, hugo%"
autor michael  clark,"aut=clark, michael%"
autor peter  vowden,"aut=vowden , peter%"
autor kathryn  vowden,"aut=vowden , kathryn%"
autor luc  teot,"aut=teot, luc%"
autor andrew  jull,"aut=jull, andrew%"
autor anne f.  williams,"aut=williams , anne f.%"
autor peter  mortimer,"aut=mortimer, peter%"
autor alison   kite,"aut=kite, alison %"
autor janet  powell,"aut=powell, janet%"
autor wiliam a.  marston,"aut=marston, wiliam a.%"
autor mike  edmonds,"aut=edmonds, mike%"
autor baldur t.  baldursson,"aut=baldursson, baldur t.%"
autor vincent  falanga,"aut=falanga, vincent%"
autor marwali  harahap,"aut=harahap, marwali%"
autor adebayo   olujohungbe,"aut=olujohungbe , adebayo %"
autor elizabeth n.  anionwu,"aut=anionwu, elizabeth n.%"
autor elaine  pina,"aut=pina, elaine%"
autor gary  sibbald,"aut=sibbald  , gary%"
autor siobhan  ryan,"aut=ryan , siobhan%"
autor patricia m. coutts,"aut=, patricia m. coutts%"
autor elaine  pina,"aut=pina , elaine%"
autor katia  furtado,"aut=furtado, katia%"
autor mary  dyson,"aut=dyson, mary%"
autor marco  romanelli,"aut=romanelli, marco%"
autor paolo  romanelli,"aut=romanelli, paolo%"
autor susan m.  mclaren,"aut=mclaren, susan m.%"
autor medical education partnership ltd,"aut=medical education partnership ltd%"
autor philip a.  morgan,"aut=morgan, philip a.%"
autor patricia  price,"aut=price, patricia%"
autor janice m.  beitz,"aut=beitz, janice m.%"
autor michelle h.  cameron,"aut=cameron, michelle h.%"
autor julie a.  pryde,"aut=pryde, julie a.%"
autor diane d.  allen,"aut=allen , diane d.%"
autor gail l.  widener,"aut=widener, gail l.%"
autor linda g.  monroe,"aut=monroe, linda g.%"
autor sara  shapiro,"aut=shapiro, sara%"
autor jean v.  craig,"aut=craig , jean v.%"
autor rosalind l.  smyth,"aut=smyth, rosalind l.%"
autor jose  morgado,"aut=morgado , jose%"
autor emilia bartolo,"aut=bartolo, emilia%"
autor augusto santos silva,"aut=silva, augusto santos%"
autor fernando henrique  belchior,"aut=belchior, fernando henrique%"
autor marcel lesne,"aut=lesne, marcel%"
autor barbara r.  stringht,"aut=stringht , barbara r.%"
autor leeolive  harrison,"aut=harrison, leeolive%"
autor maria arminda mendes   costa,"aut=costa, maria arminda mendes %"
autor maria de guadalupe  mestrinho,"aut=mestrinho , maria de guadalupe%"
autor maria julieta  sampaio,"aut=sampaio, maria julieta%"
autor christianne  martin,"aut=martin, christianne%"
autor antonio de almeida e  costa,"aut=costa, antonio de almeida e%"
autor idalia  sachaves,"aut=sachaves, idalia%"
autor esau toste  dinis,"aut=dinis, esau toste%"
autor jose joaquim  amendoeira,"aut=amendoeira, jose joaquim%"
autor maria de lurdes asseiro da  luz,"aut=luz, maria de lurdes asseiro da%"
autor danielle  zay,"aut=zay, danielle%"
autor imelda  charlesedwards,"aut=charlesedwards, imelda%"
autor lisete fradique  ribeiro,"aut=ribeiro, lisete fradique%"
autor lbina  carvalho,"aut=carvalho, lbina%"
autor cremilde  rodrigues,"aut=rodrigues, cremilde%"
autor josefina  frade,"aut=frade, josefina%"
autor luisa   rodrigues,"aut=rodrigues, luisa %"
autor maria aurora   bastos,"aut=bastos, maria aurora %"
autor maria ceu  figueiredo,"aut=figueiredo, maria ceu%"
autor maria vitoria  parreira,"aut=parreira, maria vitoria%"
autor alda rosa barbosa  mendes,"aut=mendes, alda rosa barbosa%"
autor maria laura preto galego rodrigues,"aut=rodrigues, maria laura preto galego%"
autor cecilia do rosario martins santos,"aut=santos, cecilia do rosario martins%"
autor ana maria lourenco dias ribeiro,"aut=ribeiro, ana maria lourenco dias%"
autor ana  grais,"aut=grais, ana%"
autor joaquim simoes,"aut=simoes, joaquim%"
autor gina marques,"aut=marques, gina%"
autor jose amendoeira,"aut=amendoeira, jose%"
autor idalina  gomes,"aut=gomes , idalina%"
autor teresa  rebelo,"aut=rebelo, teresa%"
autor paula  almeida,"aut=almeida, paula%"
autor jose manuel aranha de  sousa,"aut=sousa , jose manuel aranha de%"
autor maria conceicao  bento,"aut=bento, maria conceicao%"
autor graca   oliveira,"aut=oliveira, graca %"
autor madalena  martins,"aut=martins, madalena%"
autor maria dos anjos pereira  lopes,"aut=lopes, maria dos anjos pereira%"
autor graca gama   pereira,"aut=pereira , graca gama %"
autor paula  marques,"aut=marques, paula%"
autor maria alice santos  curado,"aut=curado  , maria alice santos%"
autor maria celeste fornte  gomes,"aut=gomes , maria celeste fornte%"
autor maria da graca vinagre da  graca,"aut=graca, maria da graca vinagre da%"
autor clara sales  correira,"aut=correira , clara sales%"
autor conceicao  ornelas,"aut=ornelas, conceicao%"
autor martha keene  elkin,"aut=elkin, martha keene%"
autor anne griffin  perry,"aut=perry , anne griffin%"
autor patricia a.  potter,"aut=potter, patricia a.%"
autor anne griffin perry,"aut=perry , anne griffin%"
autor joanne mccloskey  dochterman,"aut=dochterman , joanne mccloskey%"
autor gloria m.  bulecheck,"aut=bulecheck, gloria m.%"
autor a. matin  zurro,"aut=zurro, a. matin%"
autor j. f. cano  perez,"aut=perez, j. f. cano%"
autor j. j. de  oleaga,"aut=oleaga , j. j. de%"
autor e. de manuel  keenoy,"aut=keenoy, e. de manuel%"
autor x. palet  ferrero,"aut=ferrero , x. palet%"
autor c. sole  bas,"aut=bas, c. sole%"
autor r. m¦ lopez  pisa,"aut=pisa , r. m¦ lopez%"
autor a. bohigas  santasusagna,"aut=santasusagna, a. bohigas%"
autor m¦ j. megido    badia,"aut=badia, m¦ j. megido  %"
autor j. esteban  navarro,"aut=navarro , j. esteban%"
autor m. de la torre  castaneda,"aut=castaneda, m. de la torre%"
autor f. borrell  carrio,"aut=carrio , f. borrell%"
autor l. albaiges  sans,"aut=sans, l. albaiges%"
autor t. morandi  garde,"aut=garde , t. morandi%"
autor j. r. sambola  buguna,"aut=buguna  , j. r. sambola%"
autor j. ramos  montes,"aut=montes, j. ramos%"
autor d.  aparicio,"aut=aparicio, d.%"
autor m. lumbierres  mendez,"aut=mendez, m. lumbierres%"
autor j. m¦ raya  cobo,"aut=cobo , j. m¦ raya%"
autor x. altarriba  mercade,"aut=mercade, x. altarriba%"
autor l. de la revilla  ahumada,"aut=ahumada , l. de la revilla%"
autor e. sevilla  garcia,"aut=garcia, e. sevilla%"
autor j. jimenez  villa,"aut=villa  , j. jimenez%"
autor e. grifell  martin,"aut=martin, e. grifell%"
autor c. a. gonzalez  swatetz,"aut=swatetz , c. a. gonzalez%"
autor s. sanjose  llongueras,"aut=llongueras, s. sanjose%"
autor a. delgado  sanchez,"aut=sanchez, a. delgado%"
autor l. a. lopez  fernandez,"aut=fernandez, l. a. lopez%"
autor j. m¦ argimon   pallas,"aut=pallas, j. m¦ argimon %"
autor j. jimenez  villa,"aut=villa, j. jimenez%"
autor j. m¦ argimon  pallas,"aut=pallas, j. m¦ argimon%"
autor e. coomin  bertran,"aut=bertran, e. coomin%"
autor m¦ c. trilla   soler,"aut=soler, m¦ c. trilla %"
autor m¦ l. fernandez  ferre,"aut=ferre  , m¦ l. fernandez%"
autor a.  epluga,"aut=epluga, a.%"
autor m. huguet  recasens,"aut=recasens , m. huguet%"
autor a. martin  zurro,"aut=zurro, a. martin%"
autor g. foz   gil,"aut=gil, g. foz %"
autor a. prieto   orzanco,"aut=orzanco, a. prieto %"
autor s. fabrega  enfedaque,"aut=enfedaque, s. fabrega%"
autor r. m¦ lopez   pisa,"aut=pisa, r. m¦ lopez %"
autor n. maymo   pijuan,"aut=pijuan, n. maymo %"
autor e. giro  bulta,"aut=bulta, e. giro%"
autor a. otero   puime,"aut=puime, a. otero %"
autor p. j. saturno  hernandez,"aut=hernandez, p. j. saturno%"
autor j. gene  badia,"aut=badia, j. gene%"
autor i. miro  bedos,"aut=bedos, i. miro%"
autor a. guarga  rojas,"aut=rojas , a. guarga%"
autor r. marquet  palomer,"aut=palomer, r. marquet%"
autor m¦ d. fores  garcia,"aut=garcia, m¦ d. fores%"
autor m. de la figuera von  wichmann,"aut=wichmann, m. de la figuera von%"
autor m¦ l. fernandez ferre,"aut=ferre, m¦ l. fernandez%"
autor c. lafuente navarro,"aut=navarro, c. lafuente%"
autor m. travera solas,"aut=solas, m. travera%"
autor e. juncadella  garcia,"aut=garcia , e. juncadella%"
autor m. vilardell  tarres,"aut=tarres, m. vilardell%"
autor j. f. cano  perez,"aut=perez , j. f. cano%"
autor m. trilla  soler,"aut=soler, m. trilla%"
autor i. marcos  hernandez,"aut=hernandez , i. marcos%"
autor j. soler  ramon,"aut=ramon, j. soler%"
autor h. panella  noguera,"aut=noguera, h. panella%"
autor c. borrell  thio,"aut=thio, c. borrell%"
autor c. j. naberan  tona,"aut=tona , c. j. naberan%"
autor r. vicente  ruiz,"aut=ruiz, r. vicente%"
autor f. borrell  carrio,"aut=carrio, f. borrell%"
autor m¦ l. fernandez  ferre,"aut=ferre , m¦ l. fernandez%"
autor a. gual  sole,"aut=sole, a. gual%"
autor m¦ l. fernandez    ferre,"aut=ferre, m¦ l. fernandez  %"
autor d. roig  escofet,"aut=escofet, d. roig%"
autor r. pujol  farriols,"aut=farriols, r. pujol%"
autor j. rigau  canardo,"aut=canardo , j. rigau%"
autor j. padros  bou,"aut=bou, j. padros%"
autor j. roger  gonzalez,"aut=gonzalez , j. roger%"
autor d. escudero  rubi,"aut=rubi, d. escudero%"
autor j. m. casanovas  seum,"aut=seum, j. m. casanovas%"
